FRS_STATION_NUMBER,STATION_NAME,EASTING,NORTHING
KV01,Barnstaple,255795.4,133893.65
KV02,Ilfracombe,251753.5,147291.85
KV03,Appledore,246312.25,130298.95
KV04,Bideford,245038.65,126448.75
KV05,Braunton,248767.7,137098.15
KV06,Chulmleigh,268628.7,114197.5
KV07,Combe Martin,258594.95,146522.35
KV08,Hartland,225868,124513
KV09,Hatherleigh,254120.5,104141.95
KV10,Holsworthy,234324.8,104016.85
KV11,Lynton,271842.8,149413.65
KV12,North Tawton,266330.75,101525.5
KV13,Okehampton,258957.2,95581.6
KV14,South Molton,271392.1,126023.65
KV15,Torrington,249712.8,119336.8
KV16,Woolacombe,245986.8,143714.65
KV17,Torquay,289936.1,66045.15
KV18,Paignton,288653.6,61075.85
KV19,Ashburton,276215.05,70376.3
KV20,Bovey Tracey,281068.55,78227.35
KV21,Brixham,292422.9,55669.65
KV22,Buckfastleigh,273648.45,66044.55
KV23,Chagford,270300.85,87837.55
KV24,Dartmouth,287422.6,51600.35
KV25,Dawlish,295314.35,76428.7
KV26,Kingsbridge,273593.6,44500.1
KV27,Moretonhampstead,275703.65,85775.3
KV28,Newton Abbot,286356.5,71758.85
KV29,Salcombe,273882.55,39310.1
KV30,Teignmouth,294029.35,73032.3
KV31,Totnes,280521.4,60638.5
KV32,Danes Castle,291844.15,93332.8
KV33,Exmouth,302953.5,82214.35
KV34,Axminster,329960.65,98192.75
KV35,Bampton,295632.95,122101.85
KV36,Budleigh Salterton,306104.45,82039.2
KV37,Colyton,324784,93809.15
KV38,Crediton,283774.7,100068.5
KV39,Cullompton,301820.95,107322.9
KV40,Honiton,315759.45,100920
KV41,Ottery St Mary,309615.35,95483.6
KV42,Seaton,324296.3,90836.8
KV43,Sidmouth,312501.5,88996.35
KV44,Tiverton,294827.7,112632.25
KV45,Topsham,296531,88215.95
KV46,Witheridge,280661.95,114175.25
KV47,Plympton,254235.5,56663.85
KV48,Camels Head,245335,57499
KV49,Crownhill,248376.3,58905.5
KV50,Greenbank,248611.2,55362.8
KV51,Plymstock,251228.6,53166.4
KV52,Bere Alston,244464.3,66911.25
KV53,Ivybridge,263327.8,55699.7
KV54,Kingston,263655,47827.45
KV55,Modbury,265915.55,52156.35
KV56,Princetown,258825.5,73467.3
KV57,Tavistock,248125.6,74080.5
KV58,Yelverton,252373.9,68014.3
KV59,Middlemoor,295918,91872
KV60,Clyst St George,298000,88751
KV61,Taunton,324066.7,124634.7
KV62,Bridgwater,330288.25,136710.65
KV63,Burnham-on-Sea,331010.05,148089.9
KV64,Dulverton,291231.5,127885.7
KV65,Glastonbury,349870.75,139061.25
KV66,Minehead,297241.45,145353.75
KV67,Nether Stowey,319404.85,139613.45
KV68,Porlock,288450.6,146843
KV69,Street,347872.2,136738.55
KV70,Wellington,313703.35,120666.75
KV71,Williton,307635.85,141245.7
KV72,Wiveliscombe,307963.85,127995.3
KV73,Yeovil,355985.75,116169.2
KV74,Castle Cary,363982.4,132140.9
KV75,Chard,333002.95,108823.5
KV76,Cheddar,345646.15,153440.55
KV77,Crewkerne,344714.35,109484.2
KV78,Frome,377566.25,147640.7
KV79,Ilminster,336222.85,114673.15
KV80,Martock,346150.55,119996.9
KV81,Shepton Mallet,361594.2,143558.25
KV82,Somerton,348486.55,128712.45
KV83,Wells,354259.4,145524.8
KV84,Wincanton,371105,128073.55
KV85,Lundy Island,213678,144069
